Date,OIL,GOLD,USDIDR,SP500,IHSG,VIX,CPI,BI_rate,US_rate
1/1/2010,,,9385.599609,,,,5.13420639,6.5,0.11
1/4/2010,81.51000214,1117.699951,9364.200195,1132.98999,2575.312988,20.04000092,5.13420639,6.5,0.11
1/5/2010,81.76999664,1118.099976,9305.200195,1136.52002,2605.175537,19.35000038,5.13420639,6.5,0.11
1/6/2010,83.18000031,1135.900024,9218.099609,1137.140015,2603.195557,19.15999985,5.13420639,6.5,0.11
1/7/2010,82.66000366,1133.099976,9272.5,1141.689941,2586.794189,19.05999947,5.13420639,6.5,0.11
1/8/2010,82.75,1138.199951,9212.700195,1144.97998,2614.268311,18.12999916,5.13420639,6.5,0.11
1/11/2010,82.51999664,1150.699951,9148.099609,1146.97998,2632.101563,17.54999924,5.13420639,6.5,0.11
1/12/2010,80.79000092,1128.900024,9171,1136.219971,2659.447266,18.25,5.13420639,6.5,0.11
1/13/2010,79.65000153,1136.400024,9141,1145.680054,2632.769531,17.85000038,5.13420639,6.5,0.11
1/14/2010,79.38999939,1142.599976,9155.799805,1148.459961,2645.077881,17.62999916,5.13420639,6.5,0.11
1/15/2010,78,1130.099976,9226.099609,1136.030029,2646.987061,17.90999985,5.13420639,6.5,0.11
1/18/2010,78,1130.099976,9130,1136.030029,2642.445068,17.90999985,5.13420639,6.5,0.11
1/19/2010,79.01999664,1139.699951,9229.950195,1150.22998,2665.967285,17.57999992,5.13420639,6.5,0.11
1/20/2010,77.62000275,1112.300049,9294.950195,1138.040039,2667.162354,18.68000031,5.13420639,6.5,0.11
1/21/2010,76.08000183,1102.699951,9183,1116.47998,2638.279541,22.27000046,5.13420639,6.5,0.11
1/22/2010,74.54000092,1089.199951,9240,1091.76001,2610.238525,27.30999947,5.13420639,6.5,0.11
1/25/2010,75.26000214,1095.199951,9319.950195,1096.780029,2597.759033,25.40999985,5.13420639,6.5,0.11
1/26/2010,74.70999908,1097.900024,9379.950195,1092.170044,2578.314697,24.54999924,5.13420639,6.5,0.11
1/27/2010,73.66999817,1084.400024,9399.950195,1097.5,2564.454346,23.13999939,5.13420639,6.5,0.11
1/28/2010,73.63999939,1083.599976,9324.950195,1084.530029,2619.463135,23.72999954,5.13420639,6.5,0.11
1/29/2010,72.88999939,1083,9250,1073.869995,2610.694336,24.62000084,5.13420639,6.5,0.11
2/1/2010,74.43000031,1104.300049,9256.400391,1089.189941,2587.448242,22.59000015,5.13420639,6.5,0.13
2/2/2010,77.23000336,1117.400024,9313.700195,1103.319946,2580.150635,21.47999954,5.13420639,6.5,0.13
2/3/2010,76.98000336,1111.400024,9364.599609,1097.280029,2604.44751,21.60000038,5.13420639,6.5,0.13
2/4/2010,73.13999939,1062.400024,9386.900391,1063.109985,2593.119141,26.07999992,5.13420639,6.5,0.13
2/5/2010,71.19000244,1052.199951,9468.099609,1066.189941,2518.878174,26.11000061,5.13420639,6.5,0.13
2/8/2010,71.88999939,1065.699951,9484.5,1056.73999,2475.475586,26.51000023,5.13420639,6.5,0.13
2/9/2010,73.75,1076.699951,9339.299805,1070.52002,2489.388428,26,5.13420639,6.5,0.13
2/10/2010,74.51999664,1075.800049,9314.400391,1068.130005,2483.341309,25.39999962,5.13420639,6.5,0.13
2/11/2010,75.27999878,1094.199951,9330.099609,1078.469971,2507.653564,23.95999908,5.13420639,6.5,0.13
2/12/2010,74.12999725,1089.5,9323.700195,1075.51001,2534.03833,22.72999954,5.13420639,6.5,0.13
